2021-02-14 14:51:42.527618,/ 0xfe/ 0xfe/ 0x94/ 0xe0/ 0x0/ 0x0/ 0x80/ 0x50/ 0x3/ 0x0/ 0xfd
2021-02-14 15:28:58.296112,/ 0xfe/ 0xfe/ 0x94/ 0xe0/ 0x0/ 0x0/ 0x50/ 0x50/ 0x3/ 0x0/ 0xfd
2021-02-14 15:39:16.416286,/ 0xfe/ 0xfe/ 0x94/ 0xe0/ 0x0/ 0x0/ 0x60/ 0x50/ 0x3/ 0x0/ 0xfd
2021-02-14 15:51:42.752855,/ 0xfe/ 0xfe/ 0x94/ 0xe0/ 0x0/ 0x0/ 0x50/ 0x50/ 0x3/ 0x0/ 0xfd
2021-02-14 15:51:54.840963,/ 0xfe/ 0xfe/ 0x94/ 0xe0/ 0x0/ 0x0/ 0x60/ 0x50/ 0x3/ 0x0/ 0xfd
2021-02-14 15:53:01.747701,/ 0xfe/ 0xfe/ 0x94/ 0xe0/ 0x0/ 0x0/ 0x60/ 0x50/ 0x3/ 0x0/ 0xfd
2021-02-14 15:53:05.667252,/ 0xfe/ 0xfe/ 0x94/ 0xe0/ 0x0/ 0x0/ 0x60/ 0x50/ 0x3/ 0x0/ 0xfd
2021-02-14 15:53:12.728621,/ 0xfe/ 0xfe/ 0x94/ 0xe0/ 0x0/ 0x0/ 0x40/ 0x50/ 0x3/ 0x0/ 0xfd
2021-02-14 15:56:22.320448,/ 0xfe/ 0xfe/ 0x94/ 0xe0/ 0x3/ 0xfd/ 0xfe/ 0xfe/ 0xe0/ 0x94/ 0x3/ 0x0/ 0x40/ 0x50/ 0x3/ 0x0/ 0xfd
2021-02-14 16:03:53.973079,/ 0xfe/ 0xfe/ 0x94/ 0xe0/ 0x3/ 0xfd/ 0xfe/ 0xfe/ 0xe0/ 0x94/ 0x3/ 0x0/ 0x40/ 0x50/ 0x3/ 0x0/ 0xfd
2021-02-14 16:04:21.849590,/ 0xfe/ 0xfe/ 0x94/ 0xe0/ 0x3/ 0xfd/ 0xfe/ 0xfe/ 0xe0/ 0x94/ 0x3/ 0x0/ 0x40/ 0x50/ 0x3/ 0x0/ 0xfd
2021-02-14 16:04:37.167836,/ 0xfe/ 0xfe/ 0x94/ 0xe0/ 0x0/ 0x0/ 0x50/ 0x50/ 0x3/ 0x0/ 0xfd
2021-02-14 16:06:25.955215,/ 0xfe/ 0xfe/ 0x94/ 0xe0/ 0x0/ 0x0/ 0x50/ 0x50/ 0x3/ 0x0/ 0xfd
2021-02-14 16:15:09.926847,/ 0xfe/ 0xfe/ 0x94/ 0xe0/ 0x3/ 0xfd/ 0xfe/ 0xfe/ 0xe0/ 0x94/ 0x3/ 0x0/ 0x50/ 0x50/ 0x3/ 0x0/ 0xfd
2021-02-14 16:15:26.879879,/ 0xfe/ 0xfe/ 0x94/ 0xe0/ 0x0/ 0x0/ 0x80/ 0x50/ 0x3/ 0x0/ 0xfd
2021-02-14 16:15:58.949014,/ 0xfe/ 0xfe/ 0x94/ 0xe0/ 0x3/ 0xfd/ 0xfe/ 0xfe/ 0xe0/ 0x94/ 0x3/ 0x0/ 0x80/ 0x50/ 0x3/ 0x0/ 0xfd
2021-02-15 12:08:43.278841,/ 0xfe/ 0xfe/ 0x94/ 0xe0/ 0x3/ 0xfd/ 0xfe/ 0xfe/ 0xe0/ 0x94/ 0x3/ 0x0/ 0x60/ 0x95/ 0x3/ 0x0/ 0xfd
2021-02-15 12:10:10.961104,/ 0xfe/ 0xfe/ 0x94/ 0xe0/ 0x3/ 0xfd/ 0xfe/ 0xfe/ 0xe0/ 0x94/ 0x3/ 0x0/ 0x60/ 0x95/ 0x3/ 0x0/ 0xfd
2021-02-15 12:10:40.096819,/ 0xfe/ 0xfe/ 0x94/ 0xe0/ 0x3/ 0xfd/ 0xfe/ 0xfe/ 0xe0/ 0x94/ 0x3/ 0x0/ 0x60/ 0x95/ 0x3/ 0x0/ 0xfd
2021-02-15 12:11:18.290981,/ 0xfe/ 0xfe/ 0x94/ 0xe0/ 0x3/ 0xfd/ 0xfe/ 0xfe/ 0xe0/ 0x94/ 0x3/ 0x0/ 0x60/ 0x95/ 0x3/ 0x0/ 0xfd
2021-02-15 12:13:12.893441,/ 0xfe/ 0xfe/ 0x94/ 0xe0/ 0x3/ 0xfd/ 0xfe/ 0xfe/ 0xe0/ 0x94/ 0x3/ 0x0/ 0x60/ 0x95/ 0x3/ 0x0/ 0xfd
2021-02-15 12:15:38.436822,/ 0xfe/ 0xfe/ 0x94/ 0xe0/ 0x3/ 0xfd/ 0xfe/ 0xfe/ 0xe0/ 0x94/ 0x3/ 0x0/ 0x60/ 0x95/ 0x3/ 0x0/ 0xfd
2021-02-15 12:16:46.017299,/ 0xfe/ 0xfe/ 0x94/ 0xe0/ 0x3/ 0xfd/ 0xfe/ 0xfe/ 0xe0/ 0x94/ 0x3/ 0x0/ 0x60/ 0x95/ 0x3/ 0x0/ 0xfd
2021-02-15 12:19:21.043193,/ 0xfe/ 0xfe/ 0x94/ 0xe0/ 0x3/ 0xfd/ 0xfe/ 0xfe/ 0xe0/ 0x94/ 0x3/ 0x0/ 0x60/ 0x95/ 0x3/ 0x0/ 0xfd
2021-02-15 12:19:33.881339,/ 0xfe/ 0xfe/ 0x94/ 0xe0/ 0x3/ 0xfd/ 0xfe/ 0xfe/ 0xe0/ 0x94/ 0x3/ 0x0/ 0x60/ 0x95/ 0x3/ 0x0/ 0xfd
2021-02-15 12:19:51.502038,/ 0xfe/ 0xfe/ 0x94/ 0xe0/ 0x3/ 0xfd/ 0xfe/ 0xfe/ 0xe0/ 0x94/ 0x3/ 0x0/ 0x60/ 0x95/ 0x3/ 0x0/ 0xfd
2021-02-15 12:20:05.724229,/ 0xfe/ 0xfe/ 0x94/ 0xe0/ 0x3/ 0xfd/ 0xfe/ 0xfe/ 0xe0/ 0x94/ 0x3/ 0x0/ 0x60/ 0x95/ 0x3/ 0x0/ 0xfd
